Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
phenylobacterium,0.000215506,0.000183914,5.90807E-05,0.000168644,0,5.05204E-05,0.000128524,0,0.000111807,0.000248942,0,0
deferribacter,0.00059264,0.000429132,0,0,0.000872431,0.001313529,4.28412E-05,0,0,0,0.0001044,0
methanosphaera,0,0,0,0,0,0,0.000813983,0.000547096,0.000950358,0.00248942,0.007986637,0.006852692
conexibacter,0.000161629,0.000367827,0.000590807,0,9.69368E-05,5.05204E-05,8.56825E-05,0.000273548,0.00016771,0.000199154,0.0001044,0
streptomyces,0.00059264,0.000551741,0.001063453,0.000843218,0.000339279,0.000101041,0.000299889,0.000501505,0.001062165,0.00154344,0.0001044,0.0001479
synergistes,0.004363989,0.004659147,5.90807E-05,0,0.008869717,0.00985147,0.01148145,0.013677396,0.055791592,0.028727906,0.021088897,0.035841057
polyangium,0.001777921,0.0013487,0.001890583,0.002810726,4.84684E-05,0,0,4.55913E-05,5.59034E-05,0,0,0
anaerobranca,0,0,0,0,0,0,0.000428412,4.55913E-05,5.59034E-05,0,0,0
oscillibacter,0,0,0,0.000168644,0,0,0.003898552,0.003145801,0.006932021,0.013492656,0.056950462,0.021938474
oscillospira,0,0,5.90807E-05,0,0,0,0.012081227,0.014999544,0.039300089,0.035947224,0.059821475,0.015973181
desulfofaba,0,6.13046E-05,0,5.62145E-05,0.011293137,0.00838638,8.56825E-05,0,0,0,0.000626403,0.000690199
prevotella,0.000377135,6.13046E-05,0,0,0.001890268,0.001768213,0.001456602,0.002051609,0.006261181,0.005825243,0.010074646,0.009120489
solirubrobacter,0.000107753,6.13046E-05,0,0,0.000193874,0.000202081,8.56825E-05,9.11826E-05,0,0,0.000261001,0.0001479
rickettsia,0.001885674,0.001410005,0.002067825,0.00174265,4.84684E-05,0,0.002356268,0.003738488,5.59034E-05,4.97884E-05,0,4.92999E-05
faecalibacterium,5.38764E-05,0,0,0,0,5.05204E-05,0.000813983,0.001276557,0.003633721,0.003037092,0.003027614,0.001380398
acetivibrio,0.000323258,0.000245218,0,0,0.001793331,0.001768213,0.003727187,0.003829671,0.007267442,0.006771222,0.005742026,0.000492999
sporanaerobacter,0,0,0,0,0,5.05204E-05,0.005012424,0.005926872,0.000782648,0.0034354,0.000574203,9.85999E-05
geobacter,0.007273315,0.008766552,0.00838946,0.010287256,0.003683598,0.004647873,0.000299889,0.000273548,0.000279517,0.000597461,0.000313201,0.0001479
nitrosomonas,0.001670169,0.001164787,0.001772421,0.001461577,0.000678558,0.001060928,0,4.55913E-05,0.000391324,0.000149365,0,0.0001479
flexibacter,0.009428371,0.011341344,0.011638899,0.012985553,0.000678558,0.000656765,4.28412E-05,4.55913E-05,5.59034E-05,0.000149365,0,0
acidaminococcus,0.000484888,0.000551741,0.000177242,0.000505931,0.000242342,0.000151561,0.002399109,0.003601714,0.003521914,0.003634553,0.002714412,0.002267797
methanospirillum,0,0,0,5.62145E-05,0.000484684,0.000303122,0.000128524,4.55913E-05,0,0,5.22002E-05,9.85999E-05
ferribacterium,0.000269382,0.000796959,0.000590807,0.000674574,9.69368E-05,5.05204E-05,0.000428412,0.000319139,0.000838551,0.000796614,5.22002E-05,0
caldicoprobacter,0,0,0,0,0,0,0.000942507,0.000729461,0.001509392,0.001095345,0.000522002,4.92999E-05
dehalobacterium,0,0,0,0,0,0,4.28412E-05,4.55913E-05,0,0,0,0.001873398
pedosphaera,0.006088034,0.006007847,0,0,0.028693292,0.033949682,0.000556936,0.001139783,0,0,0.001879209,0.000887399
algorimarina,0.000161629,0.000490436,0.000236323,0.000505931,0.000387747,0.000252602,0.00068546,0.001458922,0.002236136,0.001792382,0.000522002,0.0001479
tannerella,0,0,0,0,0,0,0.000942507,0.001276557,0.009559481,0.004381379,0.002714412,0.001478998
symbiobacterium,0.000646517,0.000183914,0,0,0.004362156,0.003081742,0.001627967,0.001185374,0.000111807,4.97884E-05,0.000208801,4.92999E-05
syntrophus,0.000969775,0.001164787,0,0,0.016139977,0.01121552,0,9.11826E-05,5.59034E-05,0,0.001513807,0.000788799
thiococcus,0.00269382,0.002942619,0.00419473,0.003316656,0.001017836,0.001010407,0.000128524,9.11826E-05,5.59034E-05,0,0.000208801,4.92999E-05
rhodobacter,0.008081461,0.009563512,0.012997755,0.010118613,0.001114773,0.001161968,0.000856825,0.000957418,0.002906977,0.002240478,0.0001044,4.92999E-05
barnesiella,0,0,0,0,0,0,0.001927855,0.004376767,0.003242397,0.00248942,0.002296811,0.000985999
eggerthella,0,0,0,0,0,0,0,0,5.59034E-05,0,0.001357206,0.000887399
candidatus cloacimonas,0.006088034,0.004965669,0,0,0.035188057,0.031625745,0.003041727,0.005288593,0,0,0.000887404,0.0003451
