Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
Solitalea,0.002499185,0.00234192,0.001007706,0.001296432,0.017945901,0.015871302,0.000878117,0.000833951,0,5.06E-05,0.00022108,5.15E-05
Butyrivibrio,0,6.16E-05,5.93E-05,0,5.23E-05,5.40E-05,0.000263435,0.000277984,0.000564462,0.000708,0.00105013,0.000566164
Holdemania,0,0,0,0,0,0,0,0.000231653,0.000564462,0.000758572,0.00016581,0.000205878
Subdoligranulum,0.000488971,0.000493036,0.000355661,0.000394566,5.23E-05,0,0,0,0,0,0,0
Zymophilus,0,0,0,0,0,0,0.00180014,0.002084878,0.000677354,0.000809143,0.00027635,5.15E-05
Desulfitobacterium,0.004618059,0.003512881,0.005097807,0.007440392,0,5.40E-05,0,0,0.000112892,0.000101143,0,0
Porphyromonas,0.00021732,0.000123259,0,0,0.000941767,0.001241632,0,0,0,0,0,0
Frigoribacterium,0.001412583,0.000924442,0.00112626,0.000845499,0.000261602,0.000431872,8.78E-05,0.000185322,0.000225785,0.000606857,0,5.15E-05
Cryptanaerobacter,0.00010866,6.16E-05,0,0,0.000680165,0.000917728,0,0,0,0,0,0
Woodsholea,0.006465283,0.006964132,0.006283343,0.00980779,0.003296186,0.002753185,0.000482965,0.000370645,0.000846692,0.001062001,0.00016581,0.000102939
Nitrosovibrio,0.002770836,0.002588438,0.002904564,0.004283862,0.000156961,0.000107968,0.000131718,9.27E-05,0.000677354,0.000606857,5.53E-05,0
Flavonifractor,0,0,0,0,0,0,0.0007464,0.00078762,0.000112892,0.000859715,0.00154756,0.000669103
Acidovorax,0.006302293,0.00714902,0.005809129,0.006369427,0.00130801,0.001511553,0.000834211,0.001204596,0.006773538,0.00414686,0,5.15E-05
Tumebacillus,0.000706291,0.000616295,0.000889152,0.000789133,0,5.40E-05,8.78E-05,0,0.000112892,0.000101143,0,0
Azospirillum,0.002173204,0.002773327,0.001837582,0.002480131,0.000313922,0,0.000175623,0.000370645,0.000677354,0.000960858,5.53E-05,0
Intestinimonas,0,0,0,0,0,0,0.001009835,0.000833951,0.000790246,0.001365429,0.0038689,0.00097792
Sedimentibacter,0,0,0,0,0,0,0.000790306,0.000416976,0.000282231,0.000252857,5.53E-05,5.15E-05
Prolixibacter,0.000488971,6.16E-05,0,0,0.001778894,0.001619521,0.000131718,0.000138992,0,0,0.00044216,0.000102939
Aminobacterium,0,0,0,0,0,0,0.002283105,0.001436249,0.000903138,0.001163144,0.00088432,0.000154408
Solobacterium,0.002553515,0.002033773,0,5.64E-05,0.010359441,0.008151587,0.000175623,0.000416976,0,0,0.00044216,0.000257347
Romboutsia,0,0,0,0,0,0,4.39E-05,0,0,0,0.00138175,0.000308817
Coprobacillus,0,0,0,0,0,0,0,4.63E-05,0.000903138,0.001011429,5.53E-05,0.000102939
Rhodovulum,0.000271651,0.000986072,0.000770599,0.000620033,0,5.40E-05,4.39E-05,9.27E-05,0,0.000101143,0,0
Ramlibacter,0.000597631,0.000739554,0.000533491,0.0001691,0,0,0,4.63E-05,0.000112892,5.06E-05,0,0
Sulfuritalea,0.005758992,0.005546654,0.006876111,0.007102193,0.000575525,0.000647808,0.000307341,0.000277984,0.0029352,0.002579144,0.00022108,5.15E-05
Dechloromonas,0.002770836,0.002773327,0.003378779,0.003607463,0.00125569,0.001349601,0.005532139,0.005328021,0.009878076,0.009001719,0.00066324,0.000360286
Ornatilinea,0.005378681,0.00357451,0.000889152,0.002085565,0.016794852,0.012902181,0.00509308,0.003845441,0.000282231,0.000505715,0.021721108,0.014308508
Lachnospira,0,0,0,0,0,0,4.39E-05,0.000185322,0.001580492,0.000708,0,5.15E-05
Caloramator,0,0,0,0,0,0,0.497497366,0.457561156,0.215454956,0.24461414,0.098878019,0.049153328
Caldisericum,0.000651961,0.000493036,5.93E-05,0,0.002145137,0.002213345,0,0,0,0,0.00011054,5.15E-05
Bellilinea,0.009181789,0.00838161,0.001719028,0.001860098,0.0407576,0.035197582,0.010317878,0.008432172,0.000112892,0.000101143,0.021555298,0.008389521
Gracilibacter,0.004237749,0.004683841,0,0,0.031967771,0.026128266,4.39E-05,0,0,0,0.00016581,0
Fonticella,0,0,0,0,0,0,0.001931858,0.001853225,0.000169338,5.06E-05,0,0
Ferruginibacter,0.047810497,0.051460619,0.049140486,0.055915676,0.006016847,0.008961347,0.00127327,0.001297257,0.003781892,0.002528573,0.00049743,0.000360286
Aquicella,0.00021732,0.000246518,5.93E-05,0.000225466,0,5.40E-05,4.39E-05,0,0.000338677,0.000202286,0,0
Holophaga,0.000434641,0.000431406,0.000355661,0.000620033,0.000156961,0.000647808,4.39E-05,0.000277984,0,0.000303429,5.53E-05,0.000154408
Janibacter,0.003096816,0.002588438,0.003200948,0.002367398,0.001098729,0.001187648,0.002327011,0.002594514,0.001298261,0.001820572,0.0016581,0.00092645
Niabella,0.000651961,0.000431406,0.000533491,0.000789133,0.000104641,0.000107968,0,0,0.000112892,0,0,0
Elusimicrobium,0.002227534,0.002526809,0.001778305,0.002705597,0.000156961,0.000323904,0.00052687,0.000648629,0.000338677,0.000505715,0,0
Dethiobacter,0.00016299,0.000184888,0,0,0.000994088,0.000917728,0.000131718,0.000324314,0,5.06E-05,0.00022108,5.15E-05
Chloroflexus,0.016407693,0.016208554,0.018672199,0.022884843,0.000941767,0.000755776,0.000790306,0.000648629,0.007168661,0.008698291,0.00016581,0.000205878
Aquaspirillum,0.001195262,0.001294219,0.001185536,0.001127332,5.23E-05,5.40E-05,8.78E-05,9.27E-05,0.000564462,0.000606857,0,0
Rhodococcus,0.001140932,0.000986072,0.001896858,0.002029198,0.000418563,0.000917728,0.000131718,9.27E-05,0.000338677,0.000303429,5.53E-05,5.15E-05
Uliginosibacterium,0.000869282,0.000801183,0.000711322,0.001183699,0,0,0,0,5.64E-05,0,0,0
Mesorhizobium,0.007008584,0.006101319,0.00634262,0.008229525,0.001151049,0.001565537,0.000351247,0.000416976,0.001524046,0.001416001,0.00022108,0.000205878
Candidatus Microthrix,0.000380311,6.16E-05,0.000355661,0.0001691,0.000104641,0.000107968,0,0,5.64E-05,5.06E-05,0,0
Haliangium,0.003314137,0.002773327,0.005097807,0.004960262,5.23E-05,5.40E-05,0,0.000277984,0.001185369,0.001668858,5.53E-05,0
Nitrosospira,0.004672389,0.005731542,0.004919976,0.005693027,0.002145137,0.001295616,0.001053741,0.001158265,0.002144954,0.002022858,0.00038689,0.000205878
Saccharibacter,0.001521243,0.001294219,0.001956135,0.001972831,0,0,0,0,0,0,0,0
Steroidobacter,0.001955884,0.002157032,0.002311796,0.002367398,0.001674253,0.001565537,0.000790306,0.001158265,0.002991646,0.003337716,0.00033162,0.000514695
Niastella,0.005704662,0.005300136,0.006994665,0.006707626,0.000104641,5.40E-05,4.39E-05,0,0.000225785,0.000202286,0,0
Simplicispira,0.011354993,0.012757303,0.011855365,0.01330252,0.001674253,0.001997409,0.000482965,0.000648629,0.005475277,0.003641145,0.00011054,0.000102939
Syntrophobacter,0,0,0,0,0,0,0,0,0,0,0,0
Methyloversatilis,0.010920352,0.012387526,0.009187908,0.010202356,0.000209282,0.000107968,0.000131718,0.000185322,0.001298261,0.000606857,0,0
Dyella,0.000488971,0.000308147,0.000711322,0.000563666,0.000156961,5.40E-05,4.39E-05,0,0.000169338,0.000354,5.53E-05,0
Acidimicrobium,0.00021732,0.000369777,0.000533491,0.000845499,0,0,0,0,0,0,0,0
Hylemonella,0.00972509,0.011031678,0.009247184,0.011216955,0.002040496,0.002915137,0.001053741,0.001297257,0.010329646,0.008142005,0.00044216,0.000308817
Devosia,0.004346409,0.005485024,0.00521636,0.005467561,0.000575525,0.000593824,0.000307341,0.000277984,0.000338677,0.000455143,0,5.15E-05
Acetobacterium,0.000434641,0.000123259,0.000237107,0.0001691,0.000156961,0.000107968,0.000219529,9.27E-05,0.000282231,0.000202286,0.00044216,0.000514695
Ideonella,0.000869282,0.00123259,0.002015412,0.001803731,0.000156961,0.00026992,0.000395153,0.000509637,0.001693385,0.001011429,5.53E-05,5.15E-05
Rhodoplanes,0.000543301,0.000369777,0.000770599,0.000563666,5.23E-05,0.000107968,4.39E-05,0,5.64E-05,0.000101143,0.00011054,5.15E-05
Actinomyces,0.001195262,0.000801183,0.001363367,0.001127332,0.000313922,0.000215936,0.000263435,0.000231653,0.000508015,0.000455143,0.00033162,0.000205878
Thermosipho,0.003803108,0.003821028,5.93E-05,0,0.02684037,0.024616713,4.39E-05,0,0,0,0.00027635,0.000102939
Marihabitans,0.000488971,0.000123259,0.000414938,0.000507299,0,5.40E-05,0,0,0,0,0,0
Comamonas,0.002879496,0.002834956,0.003319502,0.002874697,0.003924031,0.005074498,0.000351247,0.000370645,0.000790246,0.000505715,0.00022108,0.000154408
Beggiatoa,0.000380311,0.000431406,0.000414938,0.000281833,0.000366243,0.000161952,0,0,0,0.000101143,0,0
Brevundimonas,0.000434641,0.000308147,0.000770599,0.000563666,0,0.000107968,0,4.63E-05,5.64E-05,0.000151714,0,5.15E-05
Leptospira,0.00016299,6.16E-05,0,0,0.004394914,0.00469661,4.39E-05,4.63E-05,0,0,0.00044216,5.15E-05
Methylosinus,0.000543301,0.000739554,0.000652045,0.000732766,0.000313922,0.000215936,0,0,0.000225785,5.06E-05,0,0
Aminivibrio,0.00021732,0.000184888,0,0,0.001151049,0.001619521,0,4.63E-05,0,0,0.00011054,0
